,Theme,Nudges
170,LiFEStyles Adopted,"Initiate and/or join green clubs in your residential area/ school/ office HPCL Locations organised awareness sessions for Creating awareness about Stress management & wellness. (Session on healthy lifestyle, stress management etc.)"
199,LiFEStyles Adopted,Initiate and/or join green clubs in your residential area/ school/ office Awareness Camp on LPG Safety and Mission Life for stakeholders majorly women and at villages along the ROU of HPCL Palanpur Vadodara pipeline
200,Water Saved,"Invest in a water meter for your house to measure water consumption regularly RMNH, Bhopal- @NMNHIndia @moefcc organised Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 13th April, 2023. #ChooseLiFE #ProPlanetPeople"
202,Energy Saved,Keep temperature of Air Conditioners to 24 degrees Embassy of India organized plantation of 75 trees for clean environment. The Mission provided two earthen pots for drinking water for Embassy members and visitor. Mission has started using manure for its garden at Embassy and Embassy residence. The Mission also issue circular to all members of the Embassy on LiFE. The Mission is planning to screen the documentary on ‘Save Energy Save Environment’ in Chancery
207,Energy Saved,Keep temperature of Air Conditioners to 24 degrees Embassy of India organized plantation of 75 trees for clean environment. The Mission provided two earthen pots for drinking water for Embassy members and visitor. Mission has started using manure for its garden at Embassy and Embassy residence. The Mission also issue circular to all members of the Embassy on LiFE. The Mission is planning to screen the documentary on â€˜Save Energy Save Environmentâ€™ in Chancery
208,Energy Saved,Keep your electronic devices in energy-saving mode Use your appliances on Energy saving mode
209,Energy Saved,Keep your electronic devices in energy-saving mode #LifestyleForEnvironment
210,Single-Use Plastic Reduced,Participate in and mobilize participation for clean-up drives of cities and water bodies Plogging at Mahandi River Estuary for clean-up of plastic waste.
211,Single-Use Plastic Reduced,"Participate in and mobilize participation for clean-up drives of cities and water bodies IOCL Paradip Refinery organised an event of â€œPloggingâ€ primarily of the plastic wastes at Mahanadi River Estuary, Paradip, Odisha for conserving the beaches and water bodies. A good span of the beach area was cleaned during the event and trash collected was sent for disposal through authorised recyclers and Paradip Municipality. After the Plogging event, a tree plantation drive of native species was also carried out in the adjoining coastal area."
212,Water Saved,"Participate in recharge of rural water bodies through Amrit Sarovar Scheme RMNH, Bhopal- NMNH, New Delhi- MoEF&CC organised Green Pledge, Green Talk, Video Presentation through Kiosk and Signature Campaign to create Awareness on LiFE: Lifestyle For Environment under #LiFEMission on 17th March, 2023 for (62 In service teachers from Institute of Advanced Study in Education, Bhopal and 210 general visitors of museum) 272 beneficiaries."
